Date,DailyRainfallTotal,Highest30MinRainfall,Highest60MinRainfall,Highest120MinRainfall,MeanTemperature,MaximumTemperature,MinimumTemperature,MeanWindSpeed,MaxWindSpeed
2019-04-12,0.0,0.0,0.0,0.0,28.1,29.7,26.0,11.2,46.4
2019-04-13,1.6,1.4,1.4,1.4,28.7,30.8,26.2,10.4,37.8
2019-04-14,0.0,0.0,0.0,0.0,28.6,29.8,27.3,13.0,37.4
2019-04-15,0.0,0.0,0.0,0.0,28.8,30.4,26.8,13.0,33.8
2019-04-16,0.0,0.0,0.0,0.0,29.3,31.3,27.6,15.5,32.4
2019-04-17,0.0,0.0,0.0,0.0,29.3,30.7,28.0,13.3,40.0
2019-04-18,0.0,0.0,0.0,0.0,29.4,31.7,27.7,14.0,39.6
2019-04-19,0.0,0.0,0.0,0.0,29.1,31.9,27.2,14.0,43.9
2019-04-20,3.0,1.4,2.0,3.0,28.3,29.5,27.2,11.2,29.2
2019-04-21,0.0,0.0,0.0,0.0,29.2,30.6,27.4,13.0,40.7
2019-04-22,0.0,0.0,0.0,0.0,28.7,30.0,27.2,10.4,32.4
2019-04-23,1.4,1.2,1.4,1.4,28.4,31.9,26.6,11.9,33.5
2019-04-24,0.4,0.4,0.4,0.4,27.8,29.6,21.5,10.1,20.9
2019-04-25,0.0,0.0,0.0,0.0,27.6,31.1,21.8,10.8,35.3
2019-04-26,98.2,25.2,47.2,85.8,28.0,30.9,21.8,13.3,46.8
2019-04-27,10.8,3.2,4.6,8.0,28.0,30.9,21.7,10.1,46.8
2019-04-28,0.0,0.0,0.0,0.0,28.5,30.6,21.7,13.3,48.2
2019-04-29,0.0,0.0,0.0,0.0,29.1,30.8,25.3,16.2,36.0
2019-04-30,13.0,12.4,12.4,13.0,29.1,30.8,25.3,12.6,41.8
2019-05-01,0.0,0.0,0.0,0.0,29.5,31.3,27.7,10.1,27.7
2019-05-02,4.8,2.6,3.4,4.8,29.1,31.4,27.4,11.9,30.2
2019-05-03,0.0,0.0,0.0,0.0,29.7,31.3,28.3,12.2,33.1
2019-05-04,0.0,0.0,0.0,0.0,29.4,31.1,27.7,10.1,27.7
2019-05-05,0.0,0.0,0.0,0.0,29.2,30.8,27.2,15.1,38.2
2019-05-06,0.0,0.0,0.0,0.0,30.0,32.3,28.6,16.9,42.8
2019-05-07,0.2,0.2,0.2,0.2,30.1,31.4,28.5,12.6,28.4
2019-05-08,59.0,28.8,32.2,32.4,26.9,31.3,20.8,12.6,74.5
2019-05-09,0.0,0.0,0.0,0.0,29.5,31.4,26.9,11.2,32.0
2019-05-10,7.4,7.2,7.2,7.4,29.3,31.7,25.2,12.2,51.5
2019-05-11,1.2,1.0,1.2,1.2,29.2,30.0,27.4,11.5,41.0
2019-05-12,0.0,0.0,0.0,0.0,29.9,31.8,27.7,9.4,28.1
2019-05-13,0.0,0.0,0.0,0.0,29.6,30.5,28.3,10.8,42.5
2019-05-14,0.0,0.0,0.0,0.0,29.3,30.9,27.5,12.2,43.6
2019-05-15,0.0,0.0,0.0,0.0,29.6,30.8,27.9,12.6,36.4
2019-05-16,0.0,0.0,0.0,0.0,29.4,30.4,27.8,9.7,30.2
2019-05-17,35.0,32.2,35.0,35.0,29.3,30.2,27.7,12.6,48.6
2019-05-18,0.0,0.0,0.0,0.0,29.1,29.9,27.5,11.5,33.5
2019-05-19,0.8,0.4,0.4,0.6,28.4,30.0,25.6,10.8,47.9
2019-05-20,0.0,0.0,0.0,0.0,29.1,30.0,27.8,11.5,38.9
2019-05-21,1.0,0.8,0.8,0.8,28.6,30.0,27.3,11.2,36.0
2019-05-22,0.0,0.0,0.0,0.0,28.9,30.1,27.7,10.1,53.6
2019-05-23,0.0,0.0,0.0,0.0,29.5,31.3,27.0,10.8,54.0
2019-05-24,0.0,0.0,0.0,0.0,30.3,32.1,29.3,11.5,29.9
2019-05-25,0.0,0.0,0.0,0.0,29.4,30.1,28.2,13.0,42.8
2019-05-26,0.0,0.0,0.0,0.0,29.7,30.8,28.8,11.9,34.6
2019-05-27,0.0,0.0,0.0,0.0,29.7,31.0,28.7,17.3,52.6
2019-05-28,0.0,0.0,0.0,0.0,29.8,30.7,28.2,17.6,47.9
2019-05-29,0.0,0.0,0.0,0.0,29.6,30.6,28.4,12.2,29.5
2019-05-30,32.0,21.4,23.2,29.8,28.2,29.6,24.8,13.0,38.5
2019-05-31,0.0,0.0,0.0,0.0,28.9,30.4,27.2,11.9,46.1
2019-06-01,0.0,0.0,0.0,0.0,28.5,29.5,27.4,12.6,39.6
2019-06-02,18.6,16.2,16.8,17.0,28.4,30.3,25.7,11.2,38.9
2019-06-03,64.0,23.8,45.2,62.2,27.2,29.4,24.5,12.2,42.5
2019-06-04,0.0,0.0,0.0,0.0,28.2,30.2,26.0,14.0,36.0
2019-06-05,1.0,0.8,0.8,0.8,29.1,30.7,27.9,13.0,42.5
2019-06-06,11.2,3.4,4.4,6.6,27.7,29.5,25.2,14.8,52.6
2019-06-07,54.2,34.6,52.4,53.4,26.0,28.1,23.6,13.0,43.6
2019-06-08,3.0,2.6,2.6,2.8,27.4,28.6,26.0,12.2,30.6
2019-06-09,0.5,0.5,0.5,0.5,28.6,29.7,26.9,13.0,41.0
2019-06-10,0.0,0.0,0.0,0.0,29.7,31.5,28.6,14.8,37.4
2019-06-11,0.0,0.0,0.0,0.0,29.9,32.5,27.3,16.2,51.8
2019-06-12,33.0,16.4,23.6,29.8,27.0,28.4,23.4,16.2,41.4
2019-06-13,1.8,1.0,1.0,1.4,28.7,29.8,26.9,16.9,43.2
2019-06-14,0.6,0.2,0.4,0.4,28.8,30.6,26.8,13.3,41.8
2019-06-15,0.0,0.0,0.0,0.0,28.6,29.2,27.9,14.8,35.3
2019-06-16,0.0,0.0,0.0,0.0,28.8,30.0,28.1,12.2,29.2
2019-06-17,0.0,0.0,0.0,0.0,28.3,29.3,26.8,13.3,41.8
2019-06-18,29.0,13.8,16.2,21.0,26.8,28.8,24.1,13.7,45.0
2019-06-19,0.2,0.2,0.2,0.2,27.6,28.6,26.4,12.6,29.9
2019-06-20,0.8,0.6,0.6,0.6,28.5,30.3,25.4,13.0,40.7
2019-06-21,50.8,37.4,50.4,50.8,28.2,29.9,25.0,12.6,50.8
2019-06-22,18.8,12.4,18.0,18.6,27.8,29.3,23.9,14.8,48.6
2019-06-23,0.0,0.0,0.0,0.0,28.8,30.2,27.0,14.0,36.4
2019-06-24,4.6,4.6,4.6,4.6,29.1,31.8,26.3,18.4,48.2
2019-06-25,0.0,0.0,0.0,0.0,29.4,30.9,28.6,21.6,40.3
2019-06-26,0.0,0.0,0.0,0.0,28.4,29.4,26.6,13.7,64.8
2019-06-27,0.0,0.0,0.0,0.0,28.8,30.3,26.8,15.1,41.4
2019-06-28,0.0,0.0,0.0,0.0,29.2,30.7,28.1,20.5,41.8
2019-06-29,8.8,5.4,5.8,8.0,28.5,30.0,25.3,22.0,48.2
2019-06-30,0.0,0.0,0.0,0.0,28.7,29.7,27.4,16.6,38.2
